DRE,Mês de competência,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categoria,Jan/2021,Fev/2021,Mar/2021,Abr/2021,Mai/2021,Jun/2021,Jul/2021,Ago/2021,Set/2021,Out/2021,Nov/2021,Dez/2021,Jan/2022,Fev/2022,Mar/2022,Abr/2022,Mai/2022,Jun/2022,Jul/2022,Ago/2022,Set/2022,Out/2022,Nov/2022,Dez/2022,Jan/2023,Fev/2023,Mar/2023,Abr/2023,Mai/2023,Jun/2023,Jul/2023,Ago/2023,Set/2023,Out/2023,Nov/2023,Dez/2023,Jan/2024,Fev/2024,Mar/2024,Abr/2024,Mai/2024,Jun/2024,Jul/2024,Ago/2024,Set/2024,Out/2024,Nov/2024,Dez/2024,Jan/2025,Fev/2025,Mar/2025,Abr/2025,Mai/2025,Jun/2025,Jul/2025,Ago/2025,Set/2025,Out/2025,Nov/2025,Dez/2025,Jan/2026,Valor
03.2 Custo das Vendas de Produtos,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Sem lançamentos,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
03.3 Custo dos Serviços Prestados,"-1.200,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-2.158,80","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-220,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-453,23","-10.602,00","-1.246,25","0,00","0,00","0,00","0,00","0,00","-450,00","-4.750,00","0,00","0,00","-14.550,00","-11.500,00","-11.500,00","-13.500,00","-12.000,00","-18.500,00","-12.000,00","-12.000,00","-12.000,00","-12.000,00","-12.000,00","-12.000,00","-14.000,00","-12.000,00","-2.000,00","-2.000,00","-204.630,28"
Materiais Aplicados na Prestação de Serviços,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-220,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-4.102,00","-1.246,25","0,00","0,00","0,00","0,00","0,00","0,00","-250,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-5.818,25"
Terceirização de Mão de Obra em Serviços Prestados,"-1.200,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-2.158,80","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-453,23","-6.500,00","0,00","0,00","0,00","0,00","0,00","0,00","-450,00","-4.500,00","0,00","0,00","-14.550,00","-11.500,00","-11.500,00","-13.500,00","-12.000,00","-18.500,00","-12.000,00","-12.000,00","-12.000,00","-12.000,00","-12.000,00","-12.000,00","-14.000,00","-12.000,00","-2.000,00","-2.000,00","-198.812,03"
03T Lucro Bruto,"-1.200,00","51.898,22","30.921,30","28.157,85","96.861,83","41.216,46","90.424,71","46.291,55","66.910,86","-776,73","19.419,64","68.416,09","56.031,66","68.738,60","63.498,60","74.380,54","99.293,11","116.378,56","132.154,98","136.860,52","94.501,83","103.952,36","103.865,75","103.738,16","103.311,76","103.257,11","103.226,51","103.174,31","103.135,10","103.092,43","103.073,14","105.618,14","125.923,97","100.744,61","114.736,71","114.917,10","127.560,13","130.885,11","129.656,24","125.252,29","125.830,08","164.354,98","93.305,74","128.223,15","136.624,22","127.076,14","160.908,74","181.639,79","173.067,21","119.116,14","133.288,81","131.214,87","155.138,28","127.180,82","181.626,08","189.831,46","143.931,44","153.353,59","145.847,90","155.943,89","127.575,24","6.544.579,68"
04 Despesas Operacionais,"-370,80","-14.230,00","-45.193,21","-21.173,78","-27.012,83","-17.205,31","-27.144,48","-44.316,11","-46.168,50","-18.787,71","-12.160,96","-50.092,34","-13.303,85","-71.736,58","-52.668,73","-59.796,73","-65.723,83","-64.163,45","-109.564,18","-113.550,91","-63.541,05","-82.234,94","-63.339,86","-80.990,05","-75.213,91","-64.119,50","-63.006,32","-67.806,58","-115.234,05","-63.402,75","-79.148,50","-67.062,91","-62.876,38","-60.956,73","-33.814,24","-37.441,49","-55.402,39","-36.992,72","-25.383,72","-30.864,50","-26.416,25","-20.847,16","-21.068,15","-37.493,44","-23.574,73","-20.756,31","-36.860,54","-94.631,64","-23.261,33","-71.339,90","-41.515,04","-24.971,65","-32.950,26","-23.041,69","-24.043,14","-24.212,42","-44.423,76","-25.618,54","-47.599,28","-23.899,67","-23.899,67","-2.815.621,45"
04.1 Despesas Comerciais,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-2.850,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-960,00","0,00","0,00","0,00","0,00","0,00","-960,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-4.770,00"
Marketing e Publicidade,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-960,00","0,00","0,00","0,00","0,00","0,00","-960,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-1.920,00"
Viagens e Representações,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-2.850,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-2.850,00"
